tweet,class,,Index
"""@BVSEDCHINK: Yo fuck skateboarding, all y'all some wood pushing faggots man, ball is life http://t.co/VBCzP6HMT7""
@AmJemieBenn",0,,
"""@BabyAnimalPics: baby monkey bathtime http://t.co/7KPWAdLF0R""
Awwwwe! This is soooo ADORABLE!",2,,
"""@BaylaaGottaBody: &#128514;&#128514;&#128514;&#128514; I ain't shit ."" Damn Skippy lol",2,,
"""@BeEasyJrizzy: u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussy""No bs must b &gt;30%chance",1,,
"""@BeenBasedB: @_KudaBrazyy http://t.co/LuUBGL9Y5u"" 0 rings 0 mvps 0 bitches lol",2,,
"""@BeenFLYnSolo: ppl talk bad about the ghetto/hood ... but as a kid growing up, a nigga had funnnnnnn !""",1,,
"""@BestProAdvice: The facts on tattoos...tattoo http://t.co/ZwnbhpDZ8e"" he's a pussy with not tattooing them nipples",1,,
"""@Bill215_: &#128175;&#128175;&#128175; RT @nel_ayden Bitches be wanting to act like niggas so bad &#128553;&#128553;&#128553; that shit aint cuteeeee"" but niggas act like bitches..",1,,
"""@BitchJones92: Get worshiping bitch! http://t.co/R37CejCjou"" woof woof",1,,
"""@BlackChiquitita: Wow. RT @thatmanpalmer I'm lost. Are those buttcheek piercings? http://t.co/yn6guyOUQ6"" yeah she's a hoe",0,,
"""@BlackNerdJade: Ok, sis."" She'd rather be a broke bitch? *shrugs* she'll have to tell me how it works for her",1,,
"""@Blackman38Tide: @WhaleLookyHere @HowdyDowdy11 queer"" gaywad",2,,
"""@BrokenPiecesmsc: @ItsNotAdam faggot read my tweets after dat k"" it wasn't even funny lol",0,,
"""@BrosConfessions: This bitch was so ungrateful http://t.co/06e77bGwbx"" fr ..... LULWHORE",1,,
"""@CASHandBOOBIES: I been kidnapped yo bitch""",1,,
"""@CB_Baby24: @white_thunduh alsarabsss"" hes a beaner smh you can tell hes a mexican",2,,
"""@CCobey: @AydanMcCoy happy birthday nigs"" Thanks yo",2,,
"""@CHlLDHOODRUINER: when ur teacher tells u that u have homework https://t.co/RKk5vawIj1"" this bitch need to go!!!",1,,
"""@CaelanG15: ""@22EdHam: @CaelanG15 that nigga was eating that hoe lol"" Hell Yea lol john Paul"" nigga said john paul.. http://t.co/OSIpBKPr9h",1,,
"""@CanIFuckOrNah: What would y'all lil ugly bald headed bitches do if they stop making make-up &amp; weave?""",1,,
"""@CarelessOne92: Leafs better win this damn game so I can go riot and shit #EarlyChristmas"" you better start looting my nig",2,,
"""@CauseWereGuys: Going back to school sucks more dick than the hoes who attend it.""",1,,
"""@CauseWereGuys: On my way to fuck yo bitch http://t.co/j906T5zE2R"" me as a 9 year old",1,,
"""@CeleyNichole: @white_thunduh how come you never bring me food"" i dont have a car retard",2,,
"""@ChadMFVerbeck: If Richnow doesn't show up with hella tinder hoes Im not his friend anymore"" chill I brought like like 8 prople",1,,
"""@ChandlerParsons: How bout them Cowboys!!!!"" Shutup pussy",1,,
A kind human is a better human,2,,
Sheriff is the kindest persom in the town,2,,
Everybody hates upon you,0,,
You ugliest of all,0,,
What a wonderful person you are,2,,
You have a really warm hearted,2,,
Jake is the most ugliest person in his entire family,0,,
You are more funnier than I thought,2,,
I hate you a lot,0,,
You look really funny when you do that,2,,
Nigga shut up!,1,,
You are not funny at all,0,,
he's acting funny today,2,,
you are one of the cruelest person I've ever met,0,,
How could she have said such a cruel thing?,0,,
Some people like them should be killed,1,,
You have such a cruel personality,0,,
That dog is very warm hearted,2,,
Cowboys in those age were really strong & had a warm heart,2,,
a person like you should be in hell ,1,,
you will never be a handsome person,0,,
How can that boy have such a cruel heart,0,,
A bastard like you would never understand,1,,
You are such a lazy bastard,1,,
pritesh is a pretty intelligent,2,,
That's a pretty hat that you are wearing,2,,
I'm pretty sure he will agree for that,2,,
What a pretty li'l house,2,,
He's acting horribly,0,,
that police had his smartness with him,2,,
What a horrible thing to say,0,,
The food at the Hotel was pretty horrible,0,,
Her voice is pretty horrible,0,,
He was one of the smartest person alive,2,,
You seem to be pretty joyful today,2,,
You are a funnier than a joker,2,,
your life is not less than joke,0,,
What cruel minded person are you?,0,,
you are the biggest idiot I have seeen in my life,0,,
Even the animals hate you,0,,
What are you doing ?,2,,
How can someone be ugly & idiot like you,0,,
This bitch is making me crazy,1,,
#BurnNotice Fi shoots bean bag rounds at the guy - Hurts like a bitch don't they?,1,,
#California is full of white trash,0,,
#California is full of white trash who moved from #Oklahoma,0,,
#CelebrityLeakedPhotos YEAH&gt; NOW YOU KNOW how it feels knowing the #NSA is on all our phones. Quit whining like #muslim #bitches.,1,,
"#ChristianBale should be KISSING #Moses ass for his fight with God, OTHERWISE WE MIGHT ALL BE FUCKING DEAD&gt; #retarded #ass #actor #faggot",1,,
"#CommonQuestionIGet

Why uou so ghetto?",2,,
#Cowboys are 6-1 bitches #Cowboysnation another great win Ilove this team,1,,
"#Crack that whip, cracker",2,,
#DTLA is trash because of non-Europeans are allowed to live there.,0,,
"#DUH @Transhuman_: That's because they're possibly tucking a penis ""@EmperorIra: This bitch got man boobs http://t.co/VJvXwLrJoP""&#8221;""",1,,
#DearFeministMen there are easier way to get pussy w/out sacrificing your man hood...best of all they dont include losing ur self respect!,2,,
"#DegenerateArtist Ain't fuckin' AROUND with #Allahs #retard #crest&gt; I GOT BLESSED by Jesus and you are NOT NEXT, you fake ass TEXT&gt;",0,,
"#DegenerateArtist Can't do it ALL on CARD&gt; I'm not a French Muslim retard&gt; I don't expect or demand a child bride yard, cuz I got MAN DICK&gt;",1,,
#DegenerateArtist Isn't a bitch walks back his words&gt; Isn't a WITCH who questions a TURD&gt; I'm a GLITCH WHO EVOLVES YOUR ABSURD!!!!!!!!!!!,1,,
"#DegenerateArtist KNOWS words&gt; Bo Jingo dangle fan slang ho, ting pang lick drum swing flick alarm bic&gt; But you can't hear fire can you?",2,,
"#DegenerateArtist Sniffs whiffy balls involuntary, cuz a FAIRY walks DOWNTOWN HAIRY, #climatechange all our scary sense of hillbilly sneeze&gt;",2,,
"#DerekJeter as a lifelong #Yankees man, I will miss you. #FirstBallot
#Unanimous",2,,
#Dutch farmers are white trash.,0,,
"""Why would you wanna be the Green Ranger? He's evil!"" Duh bitch",0,,
"""Why would you want pussy on your side burns?.. Thats a good question"" @_hy0ung hahahahaha &#128514;",1,,
"""Will shank a bitch for ceviche""",1,,
"""Work"" - @tydollasign Gets me through those rough days hahaha #hoes",1,,
"""Wow you are a bitch"" 
 Yes that's already been established, anything else you have to say?",1,,
"""Y'all forget he has his brand new baby girl at home"" bitch the cookies are burning",1,,
"""YAH"" has said in his word that the Mtzra'ym(egyptians) are his people and Ysrah'al is his inheritance and the Kushite(ethiopians).....",2,,
"""Yaoooooooo @yea_im_JAMAICAN: Mawnin yardies! &#128154;&#128155;&#128536;""",2,,
"""Yo bitch on the horn. Tryna shoot a porn."" - @KingL That's T shirt worthy Tony",1,,
"""Yo can I sublet your pussy"" #ShitFahdSays",1,,
"""Yo feet smell like my puss"" &#128514;&#128557; Whut ? ""Like flowers bitch"" &#128514;&#128557;&#9995;&#128553; omg",1,,
"""Yo mama, bitch."" RT @TheAceTJShow: What was the ONE sentence that ended your relationship?",1,,
"""You ain't gunna do shit spear chucker""",1,,
"""You ain't my bitch"" is my favorite response to long texts",1,,
"""You and yo boys some pussy cats.""",2,,
"""You are a cunt""",1,,
"""You can pull more pussy with a dodge and collect them panties alright."" -stormy and jake &#128514;&#128514;&#128514;",1,,
"""You can take someone out of the ghetto, but you can't take the ghetto out of them.""",2,,
"""You don't like us colored folks, what the he'll you're not colored you white fucks"" &#128514;&#128514;&#128514;&#128514;",1,,
"""You got hella hoes"" http://t.co/ZN1A0gsTpc",1,,
"""You hit no lights, no line for toco bell at 2 in he morning, and Diana's back in her house. It's a miracle"" - Charlie @dianaaaxo",2,,
"""You look cute today :)"".. ""Really?!"" Helll no, swerve hoe!",1,,
"""You look like little birds help you get dressed in the morning""",2,,
"""You ol trout mouth ass bitch"" 
DEEEEAAAADD",1,,
"""You talk like a fag and your shit's retarded. But that's cool scro, lot's of tards out there living total kick-ass lives!""",1,,
"""You took our land so you could make each other retarded in DIAPERS? Sure....use our image....cool...."" #redskins #NFL #concussion #jokes",2,,
"""You're a garden rose, and that bitch is a weed.""",1,,
